that -> EDAT (Standard Braille Order, Individual Reading Order)
due -> OGHK (Individual Reading Order, Standard Braille Order)
due -> LIO (Merged Reading Order, Standard Braille Order)
ever -> CZAND (Standard Braille Order, Individual Reading Order)
ever -> ZGGING (Standard Braille Order, Merged Reading Order)
ever -> KEDY (Individual Reading Order, Standard Braille Order)
ever -> OFENZ (Merged Reading Order, Standard Braille Order)
ago -> APD (Standard Braille Order, Individual Reading Order)
ago -> ANL (Individual Reading Order, Standard Braille Order)
ago -> RINBB (Merged Reading Order, Standard Braille Order)
cheap -> WHINCC (Standard Braille Order, Merged Reading Order)
cheap -> UBBST (Individual Reading Order, Merged Reading Order)
cheap -> UBBST (Merged Reading Order, Individual Reading Order)
mark -> HJE (Standard Braille Order, Individual Reading Order)
mark -> HFFB (Individual Reading Order, Standard Braille Order)
mark -> KQEA (Merged Reading Order, Standard Braille Order)
bad -> KAF (Standard Braille Order, Individual Reading Order)
bad -> CAO (Individual Reading Order, Standard Braille Order)
edit -> VBBT (Standard Braille Order, Individual Reading Order)
edit -> EDZCC (Standard Braille Order, Merged Reading Order)
edit -> THVST (Individual Reading Order, Merged Reading Order)
edit -> THVST (Merged Reading Order, Individual Reading Order)
fast -> LACC (Standard Braille Order, Individual Reading Order)
fast -> DACC (Individual Reading Order, Standard Braille Order)
often -> CQV (Standard Braille Order, Merged Reading Order)
often -> EQED (Individual Reading Order, Merged Reading Order)
often -> THHED (Merged Reading Order, Standard Braille Order)
often -> EQED (Merged Reading Order, Individual Reading Order)
though -> EDXU (Standard Braille Order, Individual Reading Order)
though -> RTOW (Standard Braille Order, Merged Reading Order)
though -> ZXSH (Individual Reading Order, Standard Braille Order)
town -> WVD (Standard Braille Order, Merged Reading Order)
town -> ARYO (Merged Reading Order, Standard Braille Order)
step -> CCCR (Standard Braille Order, Individual Reading Order)
step -> CCKG (Individual Reading Order, Standard Braille Order)
step -> THEINK (Individual Reading Order, Merged Reading Order)
step -> THEINK (Merged Reading Order, Individual Reading Order)
shows -> EDINJ (Standard Braille Order, Merged Reading Order)
shows -> THBBAR (Individual Reading Order, Merged Reading Order)
shows -> THBBAR (Merged Reading Order, Individual Reading Order)
enough -> INNOW (Standard Braille Order, Merged Reading Order)
brand -> KNOF (Standard Braille Order, Individual Reading Order)
brand -> CPER (Individual Reading Order, Standard Braille Order)
oil -> DBBO (Standard Braille Order, Individual Reading Order)
oil -> DFFE (Standard Braille Order, Merged Reading Order)
oil -> OSK (Individual Reading Order, Merged Reading Order)
oil -> ZOA (Merged Reading Order, Standard Braille Order)
oil -> OSK (Merged Reading Order, Individual Reading Order)
bit -> KBBT (Standard Braille Order, Individual Reading Order)
near -> HGGE (Standard Braille Order, Merged Reading Order)
near -> MTHEK (Individual Reading Order, Merged Reading Order)
near -> ZMK (Merged Reading Order, Standard Braille Order)
near -> MTHEK (Merged Reading Order, Individual Reading Order)
stuff -> CCWHAR (Standard Braille Order, Individual Reading Order)
stuff -> CCGHS (Individual Reading Order, Standard Braille Order)
stuff -> ENPIN (Merged Reading Order, Standard Braille Order)
doing -> BTHEGH (Merged Reading Order, Standard Braille Order)
stay -> CCAER (Standard Braille Order, Individual Reading Order)
stay -> CCAOF (Individual Reading Order, Standard Braille Order)
mean -> XENK (Individual Reading Order, Merged Reading Order)
mean -> XENK (Merged Reading Order, Individual Reading Order)
force -> FORBC (Standard Braille Order, Individual Reading Order)
force -> QGHB (Standard Braille Order, Merged Reading Order)
force -> FOREK (Individual Reading Order, Standard Braille Order)
force -> QSHC (Individual Reading Order, Merged Reading Order)
force -> PDM (Merged Reading Order, Standard Braille Order)
force -> QSHC (Merged Reading Order, Individual Reading Order)
cash -> BAGH (Standard Braille Order, Individual Reading Order)
cash -> EAWH (Individual Reading Order, Standard Braille Order)
bay -> KAER (Standard Braille Order, Individual Reading Order)
bay -> CAOF (Individual Reading Order, Standard Braille Order)
seen -> BBDCH (Standard Braille Order, Merged Reading Order)
seen -> IOCH (Individual Reading Order, Merged Reading Order)
seen -> OWCEN (Merged Reading Order, Standard Braille Order)
seen -> IOCH (Merged Reading Order, Individual Reading Order)
stop -> CCDR (Standard Braille Order, Individual Reading Order)
stop -> CCLG (Individual Reading Order, Standard Braille Order)
stop -> THEINL (Individual Reading Order, Merged Reading Order)
stop -> THEINL (Merged Reading Order, Individual Reading Order)
dog -> FDP (Standard Braille Order, Individual Reading Order)
dog -> OLN (Individual Reading Order, Standard Braille Order)
dog -> VOWL (Merged Reading Order, Standard Braille Order)
mind -> HBBO (Individual Reading Order, Standard Braille Order)
mind -> KEDBB (Merged Reading Order, Standard Braille Order)
lost -> ODCC (Standard Braille Order, Individual Reading Order)
lost -> UCO (Standard Braille Order, Merged Reading Order)
lost -> FLCC (Individual Reading Order, Standard Braille Order)
lost -> GHEL (Individual Reading Order, Merged Reading Order)
lost -> FVEA (Merged Reading Order, Standard Braille Order)
lost -> GHEL (Merged Reading Order, Individual Reading Order)
tour -> TXN (Standard Braille Order, Individual Reading Order)
tour -> FFFORD (Standard Braille Order, Merged Reading Order)
tour -> TXP (Individual Reading Order, Standard Braille Order)
tour -> SFORO (Individual Reading Order, Merged Reading Order)
tour -> WITHMR (Merged Reading Order, Standard Braille Order)
tour -> SFORO (Merged Reading Order, Individual Reading Order)
menu -> MEAZ (Individual Reading Order, Merged Reading Order)
menu -> MEAZ (Merged Reading Order, Individual Reading Order)
wish -> THEBBGH (Standard Braille Order, Individual Reading Order)
wish -> WLEN (Standard Braille Order, Merged Reading Order)
lower -> THZSH (Standard Braille Order, Merged Reading Order)
lower -> ZVWH (Individual Reading Order, Merged Reading Order)
lower -> ZVWH (Merged Reading Order, Individual Reading Order)
fine -> DBBK (Individual Reading Order, Standard Braille Order)
fine -> MWHEA (Individual Reading Order, Merged Reading Order)
fine -> MIBB (Merged Reading Order, Standard Braille Order)
fine -> MWHEA (Merged Reading Order, Individual Reading Order)
hour -> MXN (Standard Braille Order, Individual Reading Order)
hour -> MXP (Individual Reading Order, Standard Braille Order)
hour -> LFORIN (Individual Reading Order, Merged Reading Order)
hour -> LFORIN (Merged Reading Order, Individual Reading Order)
gas -> PAFF (Standard Braille Order, Individual Reading Order)
gas -> NAJ (Individual Reading Order, Standard Braille Order)
gas -> EDINGA (Merged Reading Order, Standard Braille Order)
six -> FFBBOU (Standard Braille Order, Individual Reading Order)
six -> WKWH (Standard Braille Order, Merged Reading Order)
bush -> KWHGH (Standard Braille Order, Individual Reading Order)
bush -> ZAING (Standard Braille Order, Merged Reading Order)
bush -> CGHWH (Individual Reading Order, Standard Braille Order)
sat -> FFAT (Standard Braille Order, Individual Reading Order)
sat -> JAT (Individual Reading Order, Standard Braille Order)
sat -> OWUK (Individual Reading Order, Merged Reading Order)
sat -> OWUK (Merged Reading Order, Individual Reading Order)
zip -> THBBR (Standard Braille Order, Individual Reading Order)
zip -> THFFH (Standard Braille Order, Merged Reading Order)
zip -> ZSM (Individual Reading Order, Merged Reading Order)
zip -> ZZC (Merged Reading Order, Standard Braille Order)
zip -> ZSM (Merged Reading Order, Individual Reading Order)
bid -> KBBF (Standard Braille Order, Individual Reading Order)
kind -> BBBO (Individual Reading Order, Standard Braille Order)
kind -> KGHBB (Merged Reading Order, Standard Braille Order)
sent -> ENZD (Standard Braille Order, Merged Reading Order)
shown -> YENAR (Individual Reading Order, Merged Reading Order)
shown -> YENAR (Merged Reading Order, Individual Reading Order)
lead -> WHUA (Standard Braille Order, Merged Reading Order)
lead -> UGHA (Individual Reading Order, Merged Reading Order)
lead -> UGHA (Merged Reading Order, Individual Reading Order)
went -> ENOFJ (Standard Braille Order, Merged Reading Order)
deal -> ZSTA (Merged Reading Order, Standard Braille Order)
forms -> FORHFF (Standard Braille Order, Individual Reading Order)
forms -> ANDHR (Standard Braille Order, Merged Reading Order)
forms -> FORHJ (Individual Reading Order, Standard Braille Order)
forms -> ERMP (Individual Reading Order, Merged Reading Order)
forms -> EDFORC (Merged Reading Order, Standard Braille Order)
forms -> ERMP (Merged Reading Order, Individual Reading Order)
feed -> LCV (Standard Braille Order, Individual Reading Order)
feed -> DKTH (Individual Reading Order, Standard Braille Order)
cut -> BWHT (Standard Braille Order, Individual Reading Order)
cut -> EGHT (Individual Reading Order, Standard Braille Order)
cut -> GHTHEIN (Merged Reading Order, Standard Braille Order)
ship -> GHBBR (Standard Braille Order, Individual Reading Order)
ship -> ERINCC (Standard Braille Order, Merged Reading Order)
ship -> YBBST (Individual Reading Order, Merged Reading Order)
ship -> YBBST (Merged Reading Order, Individual Reading Order)
kit -> EBBT (Standard Braille Order, Individual Reading Order)
boy -> KDER (Standard Braille Order, Individual Reading Order)
boy -> CLOF (Individual Reading Order, Standard Braille Order)
wine -> CCEDBB (Standard Braille Order, Merged Reading Order)
wine -> STTHI (Individual Reading Order, Merged Reading Order)
wine -> STIP (Merged Reading Order, Standard Braille Order)
wine -> STTHI (Merged Reading Order, Individual Reading Order)
stars -> CCJFF (Standard Braille Order, Individual Reading Order)
stars -> CCFFJ (Individual Reading Order, Standard Braille Order)
owner -> WITHZOW (Individual Reading Order, Merged Reading Order)
owner -> THEWTHE (Merged Reading Order, Standard Braille Order)
owner -> WITHZOW (Merged Reading Order, Individual Reading Order)
son -> FFDG (Standard Braille Order, Individual Reading Order)
son -> GGSHO (Standard Braille Order, Merged Reading Order)
son -> JLR (Individual Reading Order, Standard Braille Order)
son -> THEWHL (Individual Reading Order, Merged Reading Order)
son -> SANDBB (Merged Reading Order, Standard Braille Order)
son -> THEWHL (Merged Reading Order, Individual Reading Order)
grand -> PNOF (Standard Braille Order, Individual Reading Order)
grand -> NPER (Individual Reading Order, Standard Braille Order)
grand -> FORTHEGH (Merged Reading Order, Standard Braille Order)
van -> ZAG (Standard Braille Order, Individual Reading Order)
van -> ZCHH (Standard Braille Order, Merged Reading Order)
van -> EDAR (Individual Reading Order, Standard Braille Order)
van -> VCHM (Individual Reading Order, Merged Reading Order)
van -> PUST (Merged Reading Order, Standard Braille Order)
van -> VCHM (Merged Reading Order, Individual Reading Order)
skin -> BBCHO (Standard Braille Order, Merged Reading Order)
skin -> JBBB (Individual Reading Order, Standard Braille Order)
skin -> ICHL (Individual Reading Order, Merged Reading Order)
skin -> ICHL (Merged Reading Order, Individual Reading Order)
pop -> RDR (Standard Braille Order, Individual Reading Order)
pop -> OFDO (Standard Braille Order, Merged Reading Order)
pop -> GLG (Individual Reading Order, Standard Braille Order)
pop -> ANDOL (Individual Reading Order, Merged Reading Order)
pop -> ANDANDEA (Merged Reading Order, Standard Braille Order)
pop -> ANDOL (Merged Reading Order, Individual Reading Order)
rest -> NCCC (Standard Braille Order, Individual Reading Order)
rest -> UFE (Standard Braille Order, Merged Reading Order)
rest -> PKCC (Individual Reading Order, Standard Braille Order)
rest -> GHDK (Individual Reading Order, Merged Reading Order)
rest -> FUB (Merged Reading Order, Standard Braille Order)
rest -> GHDK (Merged Reading Order, Individual Reading Order)
hit -> MBBT (Standard Braille Order, Individual Reading Order)
fish -> LBBGH (Standard Braille Order, Individual Reading Order)
eye -> CERC (Standard Braille Order, Individual Reading Order)
eye -> NOWST (Standard Braille Order, Merged Reading Order)
eye -> KOFK (Individual Reading Order, Standard Braille Order)
eye -> LCCR (Merged Reading Order, Standard Braille Order)
string -> OWCCV (Individual Reading Order, Merged Reading Order)
string -> CCANDEN (Merged Reading Order, Standard Braille Order)
string -> OWCCV (Merged Reading Order, Individual Reading Order)
youth -> ERXED (Standard Braille Order, Individual Reading Order)
youth -> OFTHEED (Standard Braille Order, Merged Reading Order)
youth -> OFXZ (Individual Reading Order, Standard Braille Order)
youth -> ANDWTH (Individual Reading Order, Merged Reading Order)
youth -> RSHFOR (Merged Reading Order, Standard Braille Order)
youth -> ANDWTH (Merged Reading Order, Individual Reading Order)
fee -> LCC (Standard Braille Order, Individual Reading Order)
fee -> DKK (Individual Reading Order, Standard Braille Order)
rent -> CHOFD (Standard Braille Order, Merged Reading Order)
rent -> CHANDO (Individual Reading Order, Merged Reading Order)
rent -> THUO (Merged Reading Order, Standard Braille Order)
rent -> CHANDO (Merged Reading Order, Individual Reading Order)
dark -> FJE (Standard Braille Order, Individual Reading Order)
dark -> GIIN (Standard Braille Order, Merged Reading Order)
dark -> OFFB (Individual Reading Order, Standard Braille Order)
dark -> KTB (Merged Reading Order, Standard Braille Order)
aid -> ABBF (Standard Braille Order, Individual Reading Order)
host -> MDCC (Standard Braille Order, Individual Reading Order)
host -> UFIN (Standard Braille Order, Merged Reading Order)
host -> MLCC (Individual Reading Order, Standard Braille Order)
host -> GHDBB (Individual Reading Order, Merged Reading Order)
host -> GHDBB (Merged Reading Order, Individual Reading Order)
hands -> MOFFF (Standard Braille Order, Individual Reading Order)
hands -> XRAR (Standard Braille Order, Merged Reading Order)
hands -> MERJ (Individual Reading Order, Standard Braille Order)
hands -> OUPFF (Individual Reading Order, Merged Reading Order)
hands -> ERGGE (Merged Reading Order, Standard Braille Order)
hands -> OUPFF (Merged Reading Order, Individual Reading Order)
fat -> LAT (Standard Braille Order, Individual Reading Order)
fat -> DAT (Individual Reading Order, Standard Braille Order)
saw -> FFATHE (Standard Braille Order, Individual Reading Order)
saw -> OWUCH (Individual Reading Order, Merged Reading Order)
saw -> OWUCH (Merged Reading Order, Individual Reading Order)
farm -> LJH (Standard Braille Order, Individual Reading Order)
farm -> ERCIN (Standard Braille Order, Merged Reading Order)
farm -> DFFH (Individual Reading Order, Standard Braille Order)
farm -> YEBB (Individual Reading Order, Merged Reading Order)
farm -> MWITHEA (Merged Reading Order, Standard Braille Order)
farm -> YEBB (Merged Reading Order, Individual Reading Order)
former -> FORHAND (Standard Braille Order, Individual Reading Order)
former -> FOROUV (Standard Braille Order, Merged Reading Order)
former -> FORHY (Individual Reading Order, Standard Braille Order)
former -> FORXED (Individual Reading Order, Merged Reading Order)
former -> ANDERX (Merged Reading Order, Standard Braille Order)
former -> FORXED (Merged Reading Order, Individual Reading Order)
die -> FBBC (Standard Braille Order, Individual Reading Order)
flow -> EDLEN (Individual Reading Order, Merged Reading Order)
flow -> EDLEN (Merged Reading Order, Individual Reading Order)
path -> RAED (Standard Braille Order, Individual Reading Order)
path -> OFCHCH (Standard Braille Order, Merged Reading Order)
path -> GAZ (Individual Reading Order, Standard Braille Order)
path -> ANDCHCH (Individual Reading Order, Merged Reading Order)
path -> ANDCHCH (Merged Reading Order, Individual Reading Order)
pet -> RCT (Standard Braille Order, Individual Reading Order)
pet -> VTHE (Standard Braille Order, Merged Reading Order)
pet -> GKT (Individual Reading Order, Standard Braille Order)
pet -> EDZK (Individual Reading Order, Merged Reading Order)
pet -> EDXBB (Merged Reading Order, Standard Braille Order)
pet -> EDZK (Merged Reading Order, Individual Reading Order)
guy -> PWHER (Standard Braille Order, Individual Reading Order)
guy -> NGHOF (Individual Reading Order, Standard Braille Order)
guy -> ANDSHGG (Individual Reading Order, Merged Reading Order)
guy -> PTHEZ (Merged Reading Order, Standard Braille Order)
guy -> ANDSHGG (Merged Reading Order, Individual Reading Order)
cup -> BWHR (Standard Braille Order, Individual Reading Order)
cup -> EGHG (Individual Reading Order, Standard Braille Order)
army -> JHER (Standard Braille Order, Individual Reading Order)
army -> WITHENZ (Standard Braille Order, Merged Reading Order)
army -> FFHOF (Individual Reading Order, Standard Braille Order)
army -> BBFORU (Merged Reading Order, Standard Braille Order)
gear -> YSTK (Merged Reading Order, Standard Braille Order)
forest -> FORCCC (Standard Braille Order, Individual Reading Order)
forest -> VFH (Standard Braille Order, Merged Reading Order)
forest -> FORKCC (Individual Reading Order, Standard Braille Order)
forest -> EDDM (Individual Reading Order, Merged Reading Order)
forest -> FXF (Merged Reading Order, Standard Braille Order)
forest -> EDDM (Merged Reading Order, Individual Reading Order)
wind -> INGTHI (Individual Reading Order, Merged Reading Order)
wind -> STOWP (Merged Reading Order, Standard Braille Order)
wind -> INGTHI (Merged Reading Order, Individual Reading Order)
bob -> KDK (Standard Braille Order, Individual Reading Order)
bob -> CLC (Individual Reading Order, Standard Braille Order)
bob -> LOEA (Individual Reading Order, Merged Reading Order)
bob -> ANDEAEA (Merged Reading Order, Standard Braille Order)
bob -> LOEA (Merged Reading Order, Individual Reading Order)
fit -> LBBT (Standard Braille Order, Individual Reading Order)
pain -> LCHE (Standard Braille Order, Merged Reading Order)
pain -> GABB (Individual Reading Order, Standard Braille Order)
pain -> FCHK (Individual Reading Order, Merged Reading Order)
pain -> FCHK (Merged Reading Order, Individual Reading Order)
cum -> BWHH (Standard Braille Order, Individual Reading Order)
cum -> EGHH (Individual Reading Order, Standard Braille Order)
edge -> VPC (Standard Braille Order, Individual Reading Order)
edge -> QXEA (Standard Braille Order, Merged Reading Order)
edge -> THNK (Individual Reading Order, Standard Braille Order)
ice -> BBBC (Standard Braille Order, Individual Reading Order)
pink -> HCO (Standard Braille Order, Merged Reading Order)
pink -> GBBB (Individual Reading Order, Standard Braille Order)
pink -> MEL (Individual Reading Order, Merged Reading Order)
pink -> MPEA (Merged Reading Order, Standard Braille Order)
pink -> MEL (Merged Reading Order, Individual Reading Order)
shot -> GHDT (Standard Braille Order, Individual Reading Order)
shot -> WHLT (Individual Reading Order, Standard Braille Order)
shot -> GHTHES (Merged Reading Order, Standard Braille Order)
bus -> KWHFF (Standard Braille Order, Individual Reading Order)
bus -> UEAR (Standard Braille Order, Merged Reading Order)
bus -> CGHJ (Individual Reading Order, Standard Braille Order)
bus -> GHKFF (Individual Reading Order, Merged Reading Order)
bus -> GHKFF (Merged Reading Order, Individual Reading Order)
nor -> GDN (Standard Braille Order, Individual Reading Order)
nor -> RWO (Standard Braille Order, Merged Reading Order)
nor -> RLP (Individual Reading Order, Standard Braille Order)
nor -> VPL (Merged Reading Order, Standard Braille Order)
bug -> KWHP (Standard Braille Order, Individual Reading Order)
bug -> ZWHST (Standard Braille Order, Merged Reading Order)
bug -> CGHN (Individual Reading Order, Standard Braille Order)
bug -> VUCC (Individual Reading Order, Merged Reading Order)
bug -> ANDENIN (Merged Reading Order, Standard Braille Order)
bug -> VUCC (Merged Reading Order, Individual Reading Order)
soft -> FFYT (Standard Braille Order, Individual Reading Order)
soft -> JANDT (Individual Reading Order, Standard Braille Order)
soft -> OWOFR (Individual Reading Order, Merged Reading Order)
soft -> WANDFF (Merged Reading Order, Standard Braille Order)
soft -> OWOFR (Merged Reading Order, Individual Reading Order)
theme -> GGHC (Standard Braille Order, Individual Reading Order)
theme -> TCHL (Standard Braille Order, Merged Reading Order)
theme -> WHK (Individual Reading Order, Standard Braille Order)
theme -> TCHF (Individual Reading Order, Merged Reading Order)
theme -> SGST (Merged Reading Order, Standard Braille Order)
theme -> TCHF (Merged Reading Order, Individual Reading Order)
rich -> NBBCH (Standard Braille Order, Individual Reading Order)
rich -> DLCH (Standard Braille Order, Merged Reading Order)
rich -> OFCH (Individual Reading Order, Merged Reading Order)
rich -> NECH (Merged Reading Order, Standard Braille Order)
rich -> OFCH (Merged Reading Order, Individual Reading Order)
touch -> TXCH (Standard Braille Order, Individual Reading Order)
touch -> FFPSH (Standard Braille Order, Merged Reading Order)
touch -> TXCH (Individual Reading Order, Standard Braille Order)
touch -> SGWH (Individual Reading Order, Merged Reading Order)
touch -> TCOU (Merged Reading Order, Standard Braille Order)
touch -> SGWH (Merged Reading Order, Individual Reading Order)
chain -> CHABB (Individual Reading Order, Standard Braille Order)
died -> FBBV (Standard Braille Order, Individual Reading Order)
reach -> ELCH (Standard Braille Order, Merged Reading Order)
reach -> KFCH (Individual Reading Order, Merged Reading Order)
reach -> NACH (Merged Reading Order, Standard Braille Order)
reach -> KFCH (Merged Reading Order, Individual Reading Order)
snow -> THEDU (Standard Braille Order, Merged Reading Order)
snow -> WOGH (Individual Reading Order, Merged Reading Order)
snow -> OWEREN (Merged Reading Order, Standard Braille Order)
snow -> WOGH (Merged Reading Order, Individual Reading Order)
owned -> WITHOOW (Individual Reading Order, Merged Reading Order)
owned -> THEWOW (Merged Reading Order, Standard Braille Order)
owned -> WITHOOW (Merged Reading Order, Individual Reading Order)
chart -> CHJT (Standard Braille Order, Individual Reading Order)
chart -> CHFFT (Individual Reading Order, Standard Braille Order)
chart -> CHGGS (Merged Reading Order, Standard Braille Order)
ends -> INGDCC (Standard Braille Order, Merged Reading Order)
cast -> BACC (Standard Braille Order, Individual Reading Order)
cast -> EACC (Individual Reading Order, Standard Braille Order)
soul -> FFXO (Standard Braille Order, Individual Reading Order)
soul -> FFND (Standard Braille Order, Merged Reading Order)
soul -> JXF (Individual Reading Order, Standard Braille Order)
soul -> SRO (Individual Reading Order, Merged Reading Order)
soul -> WITHMCC (Merged Reading Order, Standard Braille Order)
soul -> SRO (Merged Reading Order, Individual Reading Order)
dining -> ATHEGH (Merged Reading Order, Standard Braille Order)
mix -> HBBOU (Standard Braille Order, Individual Reading Order)
mix -> YEAU (Individual Reading Order, Merged Reading Order)
mix -> YEAU (Merged Reading Order, Individual Reading Order)
fix -> LBBOU (Standard Braille Order, Individual Reading Order)
ray -> NAER (Standard Braille Order, Individual Reading Order)
ray -> ZGHWH (Standard Braille Order, Merged Reading Order)
ray -> PAOF (Individual Reading Order, Standard Braille Order)
ray -> VSHU (Individual Reading Order, Merged Reading Order)
ray -> PUU (Merged Reading Order, Standard Braille Order)
ray -> VSHU (Merged Reading Order, Individual Reading Order)
gain -> NABB (Individual Reading Order, Standard Braille Order)
gain -> FSTK (Merged Reading Order, Standard Braille Order)
dry -> FNER (Standard Braille Order, Individual Reading Order)
dry -> OPOF (Individual Reading Order, Standard Braille Order)
dry -> RTHEV (Merged Reading Order, Standard Braille Order)
blow -> GHLEN (Individual Reading Order, Merged Reading Order)
blow -> GHLEN (Merged Reading Order, Individual Reading Order)
shared -> GHJV (Standard Braille Order, Individual Reading Order)
shared -> WHFFTH (Individual Reading Order, Standard Braille Order)
shared -> YINOW (Individual Reading Order, Merged Reading Order)
shared -> UWOW (Merged Reading Order, Standard Braille Order)
shared -> YINOW (Merged Reading Order, Individual Reading Order)
cent -> WHINGIN (Merged Reading Order, Standard Braille Order)
forced -> FORBV (Standard Braille Order, Individual Reading Order)
forced -> FORHGH (Standard Braille Order, Merged Reading Order)
forced -> FORETH (Individual Reading Order, Standard Braille Order)
forced -> FORMSH (Individual Reading Order, Merged Reading Order)
forced -> ANDTHSH (Merged Reading Order, Standard Braille Order)
forced -> FORMSH (Merged Reading Order, Individual Reading Order)
zero -> THANDD (Standard Braille Order, Individual Reading Order)
zero -> NTHEG (Standard Braille Order, Merged Reading Order)
zero -> VYL (Individual Reading Order, Standard Braille Order)
zero -> RWN (Individual Reading Order, Merged Reading Order)
zero -> ROQ (Merged Reading Order, Standard Braille Order)
zero -> RWN (Merged Reading Order, Individual Reading Order)
bath -> KAED (Standard Braille Order, Individual Reading Order)
bath -> CAZ (Individual Reading Order, Standard Braille Order)
sharing -> AWITHOW (Merged Reading Order, Standard Braille Order)
won -> THEDG (Standard Braille Order, Individual Reading Order)
won -> GGEDFF (Standard Braille Order, Merged Reading Order)
won -> THETHS (Individual Reading Order, Merged Reading Order)
won -> STHEP (Merged Reading Order, Standard Braille Order)
won -> THETHS (Merged Reading Order, Individual Reading Order)
wear -> CCOFCC (Standard Braille Order, Merged Reading Order)
wear -> STANDST (Individual Reading Order, Merged Reading Order)
wear -> STANDST (Merged Reading Order, Individual Reading Order)
mom -> HDH (Standard Braille Order, Individual Reading Order)
mom -> HLH (Individual Reading Order, Standard Braille Order)
mom -> LANDEA (Merged Reading Order, Standard Braille Order)
rare -> NJC (Standard Braille Order, Individual Reading Order)
rare -> DEDK (Standard Braille Order, Merged Reading Order)
rare -> PFFK (Individual Reading Order, Standard Braille Order)
rare -> OTHB (Individual Reading Order, Merged Reading Order)
rare -> MHL (Merged Reading Order, Standard Braille Order)
rare -> OTHB (Merged Reading Order, Individual Reading Order)
bars -> KJFF (Standard Braille Order, Individual Reading Order)
bars -> SHDIN (Standard Braille Order, Merged Reading Order)
bars -> CFFJ (Individual Reading Order, Standard Braille Order)
bars -> WHOBB (Individual Reading Order, Merged Reading Order)
bars -> SHGGEA (Merged Reading Order, Standard Braille Order)
bars -> WHOBB (Merged Reading Order, Individual Reading Order)
seat -> ENZE (Standard Braille Order, Merged Reading Order)
aim -> ABBH (Standard Braille Order, Individual Reading Order)
rings -> SHHN (Standard Braille Order, Merged Reading Order)
rings -> WHMR (Individual Reading Order, Merged Reading Order)
rings -> SHOFE (Merged Reading Order, Standard Braille Order)
rings -> WHMR (Merged Reading Order, Individual Reading Order)
tip -> TBBR (Standard Braille Order, Individual Reading Order)
tip -> WRE (Standard Braille Order, Merged Reading Order)
mine -> HBBK (Individual Reading Order, Standard Braille Order)
mine -> KFBB (Merged Reading Order, Standard Braille Order)
whom -> SHDH (Standard Braille Order, Individual Reading Order)
whom -> ZIFF (Standard Braille Order, Merged Reading Order)
whom -> ULH (Individual Reading Order, Standard Braille Order)
math -> HAED (Standard Braille Order, Individual Reading Order)
math -> HAZ (Individual Reading Order, Standard Braille Order)
fly -> LOER (Standard Braille Order, Individual Reading Order)
fly -> DFOF (Individual Reading Order, Standard Braille Order)
standing -> WEAOF (Individual Reading Order, Merged Reading Order)
standing -> WEAOF (Merged Reading Order, Individual Reading Order)
wars -> THEJFF (Standard Braille Order, Individual Reading Order)
wars -> OWGFF (Standard Braille Order, Merged Reading Order)
hey -> MCER (Standard Braille Order, Individual Reading Order)
hey -> MKOF (Individual Reading Order, Standard Braille Order)
arms -> JHFF (Standard Braille Order, Individual Reading Order)
arms -> THECCO (Standard Braille Order, Merged Reading Order)
arms -> FFHJ (Individual Reading Order, Standard Braille Order)
arms -> WSTL (Individual Reading Order, Merged Reading Order)
arms -> ENFORA (Merged Reading Order, Standard Braille Order)
arms -> WSTL (Merged Reading Order, Individual Reading Order)
sky -> FFEER (Standard Braille Order, Individual Reading Order)
sky -> GGCHZ (Standard Braille Order, Merged Reading Order)
sky -> JBOF (Individual Reading Order, Standard Braille Order)
sky -> THECHV (Individual Reading Order, Merged Reading Order)
sky -> THECHV (Merged Reading Order, Individual Reading Order)
toy -> TDER (Standard Braille Order, Individual Reading Order)
toy -> GGEDZ (Standard Braille Order, Merged Reading Order)
toy -> TLOF (Individual Reading Order, Standard Braille Order)
toy -> THETHV (Individual Reading Order, Merged Reading Order)
toy -> SANDV (Merged Reading Order, Standard Braille Order)
toy -> THETHV (Merged Reading Order, Individual Reading Order)
slow -> OWLGH (Individual Reading Order, Merged Reading Order)
slow -> OWLGH (Merged Reading Order, Individual Reading Order)
hip -> MBBR (Standard Braille Order, Individual Reading Order)
nine -> HOWK (Standard Braille Order, Merged Reading Order)
nine -> RBBK (Individual Reading Order, Standard Braille Order)
nine -> KFL (Merged Reading Order, Standard Braille Order)
grow -> EDQEN (Individual Reading Order, Merged Reading Order)
grow -> EROWGH (Merged Reading Order, Standard Braille Order)
grow -> EDQEN (Merged Reading Order, Individual Reading Order)
dot -> FDT (Standard Braille Order, Individual Reading Order)
dot -> VWIN (Standard Braille Order, Merged Reading Order)
dot -> OLT (Individual Reading Order, Standard Braille Order)
dot -> GHTHEL (Merged Reading Order, Standard Braille Order)
rain -> KGHE (Standard Braille Order, Merged Reading Order)
rain -> PABB (Individual Reading Order, Standard Braille Order)
rain -> BSHK (Individual Reading Order, Merged Reading Order)
rain -> FKK (Merged Reading Order, Standard Braille Order)
rain -> BSHK (Merged Reading Order, Individual Reading Order)
yeah -> HGGB (Standard Braille Order, Merged Reading Order)
yeah -> MTHEC (Individual Reading Order, Merged Reading Order)
yeah -> ZCM (Merged Reading Order, Standard Braille Order)
yeah -> MTHEC (Merged Reading Order, Individual Reading Order)
peak -> HKE (Standard Braille Order, Merged Reading Order)
peak -> MBK (Individual Reading Order, Merged Reading Order)
